iteration	hypothesis	change	verify	metric_summary	decision	notes
AR1	E1 DreamCoder hygiene: mechanic-centric guidance reduces level/solve-style skill naming while preserving open-ended skill schema.	Updated DreamCoder overlay text to prefer reusable interaction patterns/local mechanics and to revise abstractions after surprise; added unit coverage.	`pytest -q tests/unit` ; `python3 scripts/run_research_smoke.py --game ls20 --actions 6 --profiles research_extensions/config/dreamcoder_only.yaml` ; `ARC_RESEARCH_CONFIG_PATH=research_extensions/config/dreamcoder_only.yaml ARC_RESEARCH_SHARED_NAMESPACE=ar1_dc_hygiene_1 ARC_SMOKE_MAX_ACTIONS=20 python3 main.py --agent=arcgentica_research --game=ls20`	`73 passed`; DreamCoder smoke green; fresh namespace `ar1_dc_hygiene_1` produced 1 skill named `A1_advances_two_processes` with mechanic-centric description and no `level`/`solve` wording.	keep	Runtime was slow due TRAPI retries (~214s for 20 actions), but verification completed and artifact quality matched intent.
AR2	E1b Prompt/schema hygiene: reduce forced skill taxonomy and fixed-field drift while preserving open-ended skill proposal.	Removed fixed `propose_skill` field example from the host prompt and replaced it with an unconstrained JSON-object instruction; removed `local mechanic` wording from DreamCoder overlay; updated unit coverage.	`pytest -q tests/unit` ; `ARC_RESEARCH_CONFIG_PATH=research_extensions/config/dreamcoder_only.yaml ARC_RESEARCH_SHARED_NAMESPACE=ar2_prompt_hygiene_dc ARC_SMOKE_MAX_ACTIONS=20 python3 main.py --agent=arcgentica_research --game=ls20` ; `ARC_RESEARCH_CONFIG_PATH=research_extensions/config/all_on.yaml ARC_RESEARCH_SHARED_NAMESPACE=ar2_prompt_hygiene_all_on ARC_SMOKE_MAX_ACTIONS=20 python3 main.py --agent=arcgentica_research --game=ls20`	`75 passed`; `ar2_prompt_hygiene_dc` produced `Discrete-layout-cycler`; `ar2_prompt_hygiene_all_on` produced flexible agent-chosen payloads like `ACTION1_moves_special_block_up` and `Directional_controls_for_special_block`; no `level`/`solve` naming observed.	keep	The change improved prompt truthfulness and reduced schema pressure, but did not improve ls20 level progress.
AR3	P2a Minimal world sketching: explicit round-trip control sketches from observed transitions can become a lightweight planning aid.	Extended world-model persistence with `observed_edges` and synthesized `round_trip_control` sketches for exact observed reversals; surfaced validated sketches in the overlay; added unit coverage.	`pytest -q tests/unit` ; `ARC_RESEARCH_CONFIG_PATH=research_extensions/config/world_model_only.yaml ARC_RESEARCH_SHARED_NAMESPACE=ar3_world_sketch_wm ARC_SMOKE_MAX_ACTIONS=20 python3 main.py --agent=arcgentica_research --game=ls20` ; `ARC_RESEARCH_CONFIG_PATH=research_extensions/config/all_on.yaml ARC_RESEARCH_SHARED_NAMESPACE=ar3_world_sketch_all_on ARC_SMOKE_MAX_ACTIONS=20 python3 main.py --agent=arcgentica_research --game=ls20`	`76 passed`; implementation worked in unit tests, but ls20 produced `local_sketches=0` in both fresh namespaces and no planning-visible sketch was validated.	discard	Exact-signature round-trip detection was too strict for ls20 because actions altered ongoing global progress, so the intended sketch never materialized in live runs.
ARDBG2	debug timeout handling	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar8_debug_timeout, actions=4, timeout=30	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar8_debug_timeout --actions 4 --timeout-sec 30`	elapsed=29.9s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True under pre-threshold gate; dc_grounded=0/0	discard	Debug-only launcher validation. This run predates the stricter DreamCoder requirement that a bounded DreamCoder run must emit at least one grounded skill.
AR5A	DreamCoder should emit at least one action-grounded reusable skill within 12 actions on ls20.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar9_dc_grounded_fast, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar9_dc_grounded_fast --actions 12 --timeout-sec 900`	elapsed=40.7s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=2/2	keep	report=ar9_dc_grounded_fast.json
AR5B	World model should emit a code-like empirically scored draft within 12 actions on ls20.	Bounded run with profile=research_extensions/config/world_model_only.yaml, namespace=ar9_wm_codedraft_fast, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/world_model_only.yaml --namespace ar9_wm_codedraft_fast --actions 12 --timeout-sec 900`	elapsed=74.9s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=True; wm_drafts=1; wm_prior=0/0	keep	report=ar9_wm_codedraft_fast.json
AR5C	All-on should preserve the contract and simultaneously produce a grounded skill plus empirical world draft within 12 actions.	Bounded run with profile=research_extensions/config/all_on.yaml, namespace=ar9_all_on_fast, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on.yaml --namespace ar9_all_on_fast --actions 12 --timeout-sec 900`	elapsed=75.4s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=2/2; wm_drafts=1; wm_prior=0/0; mh_runs=1	keep	report=ar9_all_on_fast.json
AR6A	DreamCoder should treat explicit supersedes/revises fields as real skill development rather than library growth.	Bounded run with profile=research_extensions/config/all_on.yaml, namespace=ar10_all_on_revision_fast, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on.yaml --namespace ar10_all_on_revision_fast --actions 12 --timeout-sec 900`	elapsed=85.6s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; wm_drafts=1; wm_prior=0/0; mh_runs=1	keep	report=ar10_all_on_revision_fast.json
AR7A	First carryover run seeds a grounded DreamCoder library entry in a deliberate shared namespace.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar11_dc_carryover, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar11_dc_carryover --actions 12 --timeout-sec 900`	elapsed=100.9s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1	keep	report=ar11_dc_carryover.json
AR7B	Second carryover run should reuse or revise the existing shared DreamCoder library rather than starting from scratch.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar11_dc_carryover, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar11_dc_carryover --actions 12 --timeout-sec 900`	elapsed=82.0s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1	keep	report=ar11_dc_carryover.json
